Time,ColorTemp, Lux, R, G, B, C
1608617283,6565,1658,2493,3134,3386,9727
1608617304,6565,1658,2493,3134,3386,9727
1608617325,6565,1658,2493,3134,3386,9728
1608617346,6567,1658,2493,3134,3387,9728
1608617366,6568,1659,2493,3135,3388,9729
1608617387,6568,1659,2493,3135,3388,9730
1608617408,6568,1660,2493,3136,3388,9731
1608617428,6568,1659,2494,3136,3389,9734
1608617449,6568,1659,2494,3136,3389,9733
1608617470,6569,1660,2494,3137,3390,9734
1608617490,6569,1659,2495,3137,3391,9736
1608617511,6569,1660,2495,3138,3391,9738
1608617532,6569,1660,2495,3138,3391,9738
1608617553,6568,1661,2496,3139,3392,9740
1608617573,6568,1661,2496,3139,3392,9740
1608617594,6568,1661,2496,3139,3392,9740
1608617615,6570,1660,2496,3139,3393,9741
1608617635,6570,1660,2496,3139,3393,9741
1608617656,6570,1660,2496,3139,3393,9742
1608617677,6571,1661,2496,3140,3394,9743
1608617698,6571,1661,2496,3140,3394,9745
1608617718,6571,1661,2496,3140,3394,9744
1608617739,6571,1663,2496,3141,3394,9745
1608617760,6569,1662,2497,3141,3394,9746
1608617780,6571,1662,2497,3141,3395,9746
1608617801,6571,1662,2497,3141,3395,9746
1608617822,6571,1663,2497,3142,3395,9749
1608617842,6572,1662,2497,3142,3396,9749
1608617863,6570,1662,2498,3142,3396,9750
1608617884,6571,1663,2497,3142,3395,9749
1608617905,6572,1662,2497,3142,3396,9750
1608617925,6572,1662,2497,3142,3396,9750
1608617946,6572,1662,2497,3142,3396,9750
1608617967,6570,1662,2498,3142,3396,9751
1608617987,6570,1664,2498,3143,3396,9751
1608618008,6570,1664,2498,3143,3396,9750
1608618029,6572,1663,2498,3143,3397,9752
1608618049,6572,1663,2498,3143,3397,9752
1608618070,6572,1663,2498,3143,3397,9753
1608618091,6572,1663,2498,3143,3397,9754
1608618112,6572,1663,2498,3143,3397,9754
1608618132,6573,1664,2498,3144,3398,9755
1608618153,6572,1663,2498,3143,3397,9754
1608618174,6571,1664,2499,3144,3398,9755
