Time,ColorTemp, Lux, R, G, B, C
1608190001,5740,1297,2903,2956,3314,9747
1608190022,5741,1298,2903,2957,3315,9748
1608190043,5741,1298,2903,2957,3315,9748
1608190064,5741,1298,2903,2957,3315,9749
1608190084,5743,1299,2903,2958,3316,9750
1608190105,5743,1299,2903,2958,3316,9751
1608190126,5743,1299,2903,2958,3316,9751
1608190146,5743,1299,2903,2958,3316,9752
1608190167,5744,1300,2903,2959,3317,9753
1608190188,5744,1300,2903,2959,3317,9753
1608190209,5745,1299,2903,2959,3318,9754
1608190229,5745,1299,2903,2959,3318,9754
1608190250,5745,1301,2903,2960,3318,9755
1608190271,5747,1301,2902,2960,3318,9755
1608190291,5748,1300,2902,2960,3319,9756
1608190312,5748,1302,2902,2961,3319,9758
1608190333,5748,1302,2902,2961,3319,9757
1608190353,5748,1302,2902,2961,3319,9758
1608190374,5749,1303,2902,2962,3320,9759
1608190395,5749,1303,2902,2962,3320,9760
1608190416,5749,1303,2902,2962,3320,9760
1608190436,5749,1303,2902,2962,3320,9761
1608190457,5751,1303,2902,2963,3321,9761
1608190478,5754,1304,2900,2963,3321,9760
1608190498,5754,1304,2899,2962,3320,9757
1608190519,5754,1304,2899,2962,3320,9757
1608190540,5754,1304,2899,2962,3320,9759
1608190560,5755,1304,2898,2962,3320,9757
1608190581,5755,1304,2898,2962,3320,9757
1608190602,5757,1305,2898,2963,3321,9759
1608190623,5757,1305,2898,2963,3321,9758
1608190643,5757,1305,2898,2963,3321,9760
1608190664,5757,1305,2898,2963,3321,9761
1608190685,5758,1306,2898,2964,3322,9761
1608190705,5758,1306,2898,2964,3322,9762
1608190726,5758,1306,2898,2964,3322,9762
1608190747,5759,1306,2898,2965,3323,9764
1608190768,5759,1306,2898,2965,3323,9764
1608190788,5759,1306,2898,2965,3323,9765
1608190809,5759,1306,2898,2965,3323,9765
1608190830,5761,1307,2898,2966,3324,9766
1608190850,5761,1307,2898,2966,3324,9768
1608190871,5761,1307,2898,2966,3324,9767
1608190892,5762,1308,2898,2967,3325,9768
1608190912,5762,1308,2898,2967,3325,9769
1608190933,5762,1308,2898,2967,3325,9769
1608190954,5762,1308,2898,2967,3325,9770
1608190975,5762,1308,2898,2967,3325,9770
1608190995,5765,1309,2897,2968,3326,9771
1608191016,5763,1309,2898,2968,3326,9772
1608191037,5763,1310,2898,2969,3326,9773
1608191057,5765,1310,2898,2969,3327,9774
1608191078,5765,1310,2898,2969,3327,9774
1608191099,5766,1310,2897,2969,3327,9774
1608191119,5766,1310,2897,2969,3327,9775
1608191140,5765,1311,2898,2970,3327,9775
1608191161,5767,1311,2897,2970,3328,9776
1608191182,5767,1311,2897,2970,3328,9777
1608191202,5767,1313,2897,2971,3328,9778
1608191223,5769,1312,2897,2971,3329,9778
